Id,OpenIssuesCount,ForksCount,StargazersCount,Size,description_length
45717250,5969,74349,186723,1104433,54
2325298,440,54329,183822,5358926,24
29028775,857,24378,119624,899134,56
552661142,708,15561,95837,364870,45
357728969,4065,2785,74569,222261,90
56969116,8,6602,47635,5989,42
72495579,2741,5522,45481,289427,167
4710920,880,26440,40559,59023,75
873328,2962,4219,39358,535591,57
771302083,230,4305,38053,138338,33
60246359,4092,6955,37945,1633548,41
74175805,544,7791,36200,274322,47
266417772,5,2794,35380,103277,43
16563587,6464,3820,30226,2920732,139
75821432,27450,12186,29477,1866994,93
699532645,1078,812,28704,51233,70
265122478,456,1850,27001,41864,78
808045485,442,1112,25980,339879,29
1357796,2168,3326,25917,244558,43
638629097,293,2127,22857,115207,45
329782568,230,833,21735,40592,59
13753636,122,4027,21609,169316,127
3623050,38,10754,20977,419697,85
283211901,2232,1088,20220,92426,75
644686905,788,1752,19812,597626,178
120360765,102,7129,19375,50784400,49
4542716,16138,14371,18437,4669758,31
30675533,1238,2639,18315,2449878,94
8986217,782,1276,17026,71421,149
819554665,235,911,16962,11162,60
2200856,790,19259,16359,248405,215
286080143,92,888,15657,756014,65
101767772,764,1309,15507,109700,79
34275705,183,924,15226,8509,52
38565895,193,1169,14074,33389,73
435427730,22,848,13275,348123,46
67753070,243,2319,12974,156432,23
200722670,130,2552,12356,277612,181
48030204,367,2090,12311,638485,38
131619646,2738,1505,12021,1257750,90
556675672,106,723,11270,29084,36
817326197,112,663,10716,217165,173
49767244,1188,4631,10654,186734,46
35726310,8079,1586,10316,1462631,90
309512982,1155,592,9744,104709,109
528464304,262,1318,9356,7908,29
235468657,3294,5275,9032,459323,52
197275551,1170,4583,8781,322116,67
77276660,50,2213,8443,40862,26
165670309,131,676,8360,19196,153
209120637,334,774,8320,43255,99
40081991,31,1897,8109,1810880,89
114685405,461,1078,7869,23892,72
56894212,32,857,7600,5902,81
39211337,67,5996,7458,789942,18
111364256,326,733,7011,33997,38
397401267,591,492,6949,37134,40
395140743,364,520,6866,140702,159
2365549,13,9074,6717,1136437,25
27561102,76,1095,6623,344879,34
735426820,44,191,6512,15230,29
128416969,209,550,6380,12660,45
426075845,739,11229,6305,350812,163
216628419,1067,661,5833,319486,108
238797860,423,3328,5689,333724,29
408858330,429,3154,5453,9891466,38
13839311,1,1598,5413,151946,103
256589781,29,1035,5371,910670,165
79375056,475,431,5337,106624,82
22484898,89,2213,5097,66004,58
692694122,2,928,4903,16130407,51
93163073,1288,1028,4751,94936,50
796532,56,780,4630,39517,168
108469351,43,697,4567,219317,66
6495081,0,1394,4302,2270960,182
564072810,230,306,4135,105659,29
176777353,14,631,3973,219663,49
20185174,28,473,3545,71650,44
388946490,959,1169,3543,112159,91
20408831,6,1002,3388,23600,125
659402878,335,877,3387,73707,43
664669687,11,265,3216,2646,65
121814210,93,537,3215,404899,62
113006883,0,584,3172,480064,144
426848256,180,157,3050,1234613,48
159918462,10,939,3024,4257,81
208145128,1192,628,2876,188680,72
270692521,489,2873,2854,24719,23
523007292,2494,444,2758,227680,63
26223397,1,106,2731,661,93
96004375,75,653,2691,779571,41
758975200,231,420,2675,959,127
19825320,39,108,2667,50098,22
86362856,103,774,2658,75174,205
870760326,10,57,2630,1483,60
439011383,138,289,2465,25817,67
487510752,529,588,2413,1376,34
138552196,62,511,2256,129745,75
463628495,860,384,2252,146671,57
374763231,67,85,2200,326178,127
13233158,794,8028,60734,72265,82
599320067,247,4348,37232,483197,138
699532645,1078,812,28705,51233,70
808045485,442,1112,25981,339879,29
161951219,269,1243,25686,127572,38
4542716,16135,14371,18437,4669758,31
62117812,1436,3598,14302,228719,52
49767244,1187,4631,10654,186734,46
18845024,912,1154,7419,182520,35
128416969,210,550,6380,12660,45
426075845,738,11229,6305,350812,163
152616802,920,536,4274,158713,38
476381845,88,4926,3479,436475,24
12613963,306,702,3076,2397,14
9752041,2,2417,2774,144737,230
523007292,2495,444,2758,227680,63
70107786,3592,27065,127608,2123677,19
65600975,15549,22828,84790,1017222,74
16563587,6462,3820,30226,2920732,139
161951219,269,1243,25686,127628,38
4542716,16137,14371,18437,4669758,31
556675672,105,723,11270,29084,36
50824485,203,1411,11128,69821,201
309512982,1155,592,9744,104711,109
86031674,731,676,9230,144075,132
209120637,334,774,8320,43211,99
1314319,566,2532,5722,1861238,33
47341961,620,679,2885,40312,42
45717250,5971,74349,186723,1104433,54
552661142,709,15561,95837,364870,45
357728969,4066,2785,74569,222261,90
23357588,276,15533,65944,176206,51
873328,2963,4219,39358,535591,57
599320067,247,4348,37232,484889,138
266417772,5,2794,35381,103277,43
259463685,117,1479,32419,38823,140
16563587,6461,3820,30226,2920732,139
699532645,1079,812,28705,51233,70
38565895,192,1169,14074,33389,73
556675672,105,723,11271,29084,36
4151993,143,3022,11090,23275,38
197275551,1171,4583,8781,322116,67
320636477,1167,1388,8091,11092205,131
114685405,459,1078,7869,23892,72
39211337,66,5996,7458,789942,18
26884725,958,2414,7457,253797,172
27561102,76,1095,6624,344879,34
201134801,620,163,5820,82206,66
20408831,5,1002,3388,23600,125
41881900,10750,29560,165044,968097,18
70107786,3592,27065,127607,2123677,19
19745004,7069,25461,39312,9804206,45
75821432,27451,12186,29477,1866994,93
4542716,16139,14371,18437,4669758,31
62117812,1436,3598,14302,228755,52
215654064,508,852,12219,98592,16
320636477,1166,1388,8091,11092205,131
111455867,254,1723,7078,1004187,79
462597790,669,3668,6206,384016,126
216628419,1067,661,5833,320163,108
238797860,422,3328,5689,333724,29
79375056,476,431,5337,106624,82
692694122,2,928,4904,16130407,51
45717250,5971,74349,186724,1104433,54
658928958,1271,8076,101091,27225,85
15111821,4215,12203,65400,1285876,201
60246359,4091,6955,37945,1633548,41
699532645,1079,812,28706,51233,70
161951219,269,1243,25687,127628,38
129717717,1872,3479,24120,316713,30
529708137,102,2063,19069,42821,113
4542716,16140,14371,18437,4669758,31
30675533,1238,2639,18315,2449881,94
131619646,2737,1505,12021,1257750,90
197275551,1172,4583,8781,322116,67
320636477,1165,1388,8091,11092205,131
26884725,959,2414,7457,253797,172
643874750,106,270,4604,919384,53
45717250,5970,74349,186724,1104437,54
614765452,171,44504,168940,187883,152
599320067,247,4348,37233,484889,138
218115303,149,1223,30667,3415,29
191820100,492,5181,27853,603399,71
108110,76,5596,26474,1098160,20
808045485,443,1113,25981,339879,29
192640529,876,2428,19654,2424247,94
4542716,16141,14371,18437,4669758,31
79723839,51,933,17926,186455,54
586920414,128,305,10505,15012,32
35726310,8078,1586,10316,1462631,90
235468657,3293,5275,9032,459323,52
320636477,1164,1388,8091,11092205,131
549830413,99,619,6258,142767,52
216628419,1066,661,5833,320163,108
19745004,7069,25461,39313,9804206,45
75821432,27451,12187,29477,1866994,93
329782568,230,833,21736,40592,59
53133861,1,839,20626,15998,63
644686905,788,1752,19812,597637,178
4542716,16145,14371,18437,4669758,31
210716005,9110,4773,15489,870620,74
38565895,191,1169,14074,33389,73
52300938,200,9250,9084,327621,19
197275551,1173,4583,8781,322116,67
320636477,1162,1388,8091,11092205,131
26884725,957,2414,7457,253797,172
41881900,10749,29560,165044,968097,18
65600975,15550,22828,84790,1017222,74
599320067,246,4348,37233,484889,138
74175805,545,7791,36200,274322,47
16563587,6462,3820,30227,2920732,139
302322,3011,4782,17036,575870,34
210716005,9111,4773,15489,870620,74
671269505,894,1727,14724,283013,174
1099265,1384,1493,9584,74835,41
609539715,52,467,7096,114651,56
128416969,211,550,6380,12660,45
614765452,172,44504,168940,187883,152
29028775,856,24378,119624,899134,56
65600975,15551,22828,84790,1017222,74
357728969,4066,2784,74569,222261,90
221981891,699,3721,67450,165020,124
771302083,230,4305,38054,138338,33
16563587,6462,3820,30227,2919620,139
638629097,294,2127,22858,115207,45
120360765,102,7129,19375,50782826,49
4542716,16148,14371,18437,4669758,31
198683574,415,517,18027,148155,19
18503721,98,1440,17352,26483,60
819554665,235,911,16963,11162,60
80862584,7496,4229,10585,904137,100
320636477,1160,1388,8091,11092205,131
114685405,457,1078,7869,23892,72
80179724,92,764,7710,783955,62
778828,4,1632,7058,52091,42
45717250,5969,74349,186724,1104437,54
221981891,698,3721,67450,165020,124
771302083,230,4305,38055,138338,33
3623050,38,10754,20977,419784,85
283211901,2233,1088,20220,92426,75
192640529,877,2428,19654,2424247,94
529708137,102,2063,19069,42832,113
4542716,16149,14371,18437,4669758,31
139199684,918,1655,17704,167105,94
8986217,782,1276,17026,71435,149
171072967,133,3735,15658,3516,87
671269505,894,1727,14725,283013,174
213916896,0,2042,13530,1125366,26
556675672,105,723,11272,29084,36
320636477,1159,1388,8091,11092205,131
31792824,13091,27663,166876,173184,76
41881900,10749,29560,165043,968097,18
9384267,971,15525,114643,159469,75
65600975,15551,22828,84789,1017222,74
340547520,3144,3179,51139,135518,124
218115303,150,1223,30667,3415,29
6934395,1066,6345,28759,222894,83
43723161,733,7140,27155,21966,30
283211901,2233,1088,20220,92442,75
123220152,425,873,13738,25405,38
25135037,165,3795,13712,107468,148
197275551,1174,4583,8781,322116,67
320636477,1158,1388,8091,11092205,131
614765452,172,44504,168939,187883,152
340547520,3142,3179,51139,135518,124
31288958,1269,4235,31355,306703,88
699532645,1079,812,28705,51155,70
1357796,2169,3326,25917,244558,43
129717717,1873,3479,24120,316713,30
4542716,16150,14371,18437,4669758,31
146327667,1901,1616,18333,118709,47
286080143,92,888,15656,756014,65
528464304,262,1318,9354,7908,29
320636477,1157,1388,8091,11092205,131
13233158,794,8028,60735,72265,82
340547520,3143,3179,51140,135518,124
599320067,245,4348,37233,484889,138
75821432,27450,12187,29477,1866994,93
6934395,1067,6345,28759,222894,83
3757512,591,1953,22856,13171,34
644686905,789,1752,19812,597637,178
198683574,416,517,18027,148155,19
38565895,190,1169,14074,33389,73
80862584,7496,4229,10586,904137,100
97556265,577,1189,8128,1774891,220
31792824,13092,27663,166876,173184,76
9384267,971,15525,114644,159469,75
552661142,709,15561,95837,364918,45
357728969,4066,2784,74569,222322,90
340547520,3142,3179,51140,135518,124
699532645,1079,812,28706,51155,70
4524181,333,5579,28522,47871,58
129717717,1873,3479,24120,316720,30
213916896,0,2042,13530,1126702,26
817326197,112,663,10716,217216,173
658928958,1271,8076,101092,27225,85
133442384,2071,5412,98320,149368,47
65600975,15552,22828,84789,1017222,74
340547520,3141,3179,51140,135518,124
621803253,425,16758,32147,29557,48
699532645,1078,812,28706,51155,70
265122478,454,1850,27001,41864,78
311315731,31,3987,25981,5015,105
285092252,461,1689,22232,142451,49
283211901,2233,1088,20221,92442,75
455600,536,3004,18209,776363,57
302322,3010,4782,17036,575870,34
47854924,200,3448,15328,54938,29
67753070,243,2319,12974,156434,23
556675672,104,723,11272,29084,36
45717250,5971,74349,186724,1104437,54
31792824,13093,27663,166876,173184,76
29028775,857,24378,119624,899157,56
9384267,971,15525,114644,159493,75
72495579,2740,5522,45481,289427,167
204086862,977,3114,36052,512863,54
154739597,1888,2831,30688,102310,103
75821432,27450,12187,29477,1866834,93
191820100,492,5181,27853,603415,71
311315731,30,3987,25981,5015,105
819554665,236,911,16963,11162,60
123220152,424,873,13738,25405,38
70107786,3594,27065,127607,2123677,19
658928958,1271,8076,101093,27225,85
214587193,628,7262,74702,1587088,134
19872456,169,10346,53383,33771,29
340547520,3141,3179,51140,134291,124
204086862,977,3114,36053,512863,54
154739597,1889,2831,30688,102310,103
75821432,27451,12187,29477,1866834,93
311315731,29,3987,25981,5015,105
638629097,293,2127,22859,115218,45
4542716,16149,14371,18437,4670034,31
556675672,104,723,11273,29084,36
31792824,13094,27663,166876,173184,76
70107786,3594,27065,127608,2123677,19
19872456,169,10346,53384,33771,29
340547520,3141,3179,51141,134291,124
771302083,230,4305,38055,138359,33
599320067,244,4348,37233,484889,138
311315731,26,3987,25981,5015,105
285092252,460,1689,22232,142451,49
198683574,417,517,18027,148155,19
67753070,243,2319,12975,156434,23
49767244,1185,4631,10654,186734,46
31792824,13095,27663,166876,173184,76
552661142,710,15561,95837,364918,45
65600975,15553,22828,84789,1017222,74
23357588,276,15533,65944,176208,51
174038031,63,2091,41788,28696,75
771302083,230,4305,38056,138359,33
680120071,621,5130,35486,136563,66
808045485,444,1113,25981,339879,29
48109239,1119,2993,20410,364479,50
283211901,2233,1088,20222,92442,75
131619646,2739,1505,12021,1257750,90
556675672,103,723,11273,29084,36
45717250,5972,74349,186724,1104437,54
41881900,10749,29560,165043,968509,18
680120071,620,5130,35486,136563,66
4542716,16151,14371,18437,4670034,31
450143450,0,838,12554,214476,291
43225113,182,608,12428,11219,82
552661142,711,15561,95837,364918,45
65600975,15553,22828,84789,1017219,74
340547520,3139,3179,51141,134291,124
204086862,976,3114,36053,512863,54
680120071,619,5130,35486,136563,66
808045485,444,1113,25982,339879,29
638629097,291,2127,22859,115218,45
11393110,31,1709,22447,11772,68
329782568,230,833,21736,40823,59
3623050,39,10754,20977,419784,85
268163609,353,1428,20870,28065,165
4542716,16152,14371,18437,4670034,31
38565895,189,1169,14074,33389,73
435427730,22,848,13275,348124,46
43225113,181,608,12428,11219,82
215654064,507,852,12219,98592,16
131619646,2739,1505,12021,1257766,90
873328,2961,4219,39358,535936,57
680120071,618,5130,35486,136563,66
40276274,3283,2576,35288,300249,106
327089870,343,1817,29375,130483,222
808045485,444,1113,25982,339890,29
13753636,122,4027,21609,169566,127
3623050,42,10754,20977,419784,85
16157746,2290,3197,13828,200955,127
43225113,179,608,12429,11219,82
56969116,8,6602,47635,5990,42
4710920,880,26440,40559,59026,75
265122478,454,1850,27001,41872,78
4542716,16153,14371,18437,4670034,31
302322,3010,4782,17036,575879,34
101767772,763,1309,15507,109700,79
41881900,10749,29561,165043,968509,18
29028775,856,24378,119624,899157,56
658928958,1271,8076,101094,27225,85
65600975,15554,22828,84789,1017219,74
15111821,4214,12203,65400,1285876,201
72495579,2740,5522,45481,289431,167
186024298,1485,1702,32899,49768,19
16563587,6461,3820,30227,2919620,139
14125254,1281,4432,28470,499260,155
26038648,60,4590,24615,42717,25
4542716,16154,14371,18437,4670034,31
435427730,22,848,13276,348124,46
